type,size,length,qty,brand,material,verified,incomplete
circular,0,32,1,lykke,wood,x,
circular,0,47,1,addi,metal,x,
circular,1,24,1,addi,metal,x,
circular,1,47,1,addi,metal,x,
circular,1.5,9,1,chiagoo,bamboo,x,
circular,2,12,1,lykke,wood,x,
circular,2,24,1,lykke,wood,x,
circular,2.5,16,1,lykke,wood,x,
circular,2.5,32,1,lykke,wood,x,
circular,3,24,1,chiagoo,metal,x,
circular,3,32,1,lykke,wood,x,
circular,3,32,1,lykke,wood,x,
circular,4,16,1,lykke,wood,x,
circular,4,24,1,lykke,wood,x,
circular,5,16,1,lykke,wood,x,
circular,5,32,1,chiagoo,bamboo,x,
circular,5,32,1,lykke,wood,x,
circular,6,24,1,clover,bamboo,x,
circular,7,16,1,unknown,wood,x,
circular,7,32,1,chiagoo,bamboo,x,
circular,7,32,1,knitter's pride,wood,x,
circular,8,16,1,chiagoo,bamboo,x,
circular,8,24,1,addi,metal,x,
circular,8,24,1,clover,bamboo,x,
circular,8,32,1,lykke,wood,x,
circular,9,24,1,lykke,wood,x,
circular,9,40,1,lykke,wood,x,
circular,10,32,1,lykke,wood,x,
circular,10,36,1,clover,bamboo,x,
circular,10.5,17,1,clover,bamboo,x,
circular,11,32,1,knitter's pride,wood,x,
dpn,0,,1,susan bates,metal,x,
dpn,0,,1,lykke,wood,x,x
dpn,1,,1,clover,bamboo,x,
dpn,1,,1,susan bates,metal,x,
dpn,1.5,,1,chiagoo,bamboo,x,
dpn,1.5,,1,chiagoo,bamboo,x,
dpn,1.5,,1,lykke,wood,x,
dpn,1.5,,1,lykke,wood,x,
dpn,1.5,,1,lykke,wood,x,x
dpn,2,,1,lykke,wood,x,
dpn,2,,1,unknown,wood,x,x
dpn,2.5,,1,knitter's pride,carbon,,
dpn,4,,1,clover,bamboo,x,
dpn,5,,1,chiagoo,bamboo,,
dpn,7,,1,clover,bamboo,x,
dpn,9,,1,knitter's pride,wood,x,
dpn,00,,1,susan bates,metal,x,
dpn,000,,1,susan bates,metal,x,
straight,4,,1,unknown,wood,x,
straight,10.5,,1,clover,bamboo,x,
straight,13,,1,clover,bamboo,x,
